"Session Title","Session Description/Abstract","Session Tags","Video","Slide","Resource Links","Date","Start Time","End Time","Room Name","Speaker Name","Speaker Bio","Speaker Email","Speaker Tags","Speaker Website","Speaker Twitter","Speaker Facebook","Speaker LinkedIn"
"Text","Text","Commas separated list of Text","URL (youtube or vimeo)","URL (speakerdeck or slideshare)","Comma separated list of URLs","MM/DD/YYYY","HH:MM AM/PM","HH:MM AM/PM","Text","Text","Text","Email","Commas separated list of Text","URL","@handle or URL","URL","URL"
"REQUIRED","OPTIONAL","OPTIONAL","OPTIONAL","OPTIONAL","OPTIONAL","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","OPTIONAL","REQUIRED","OPTIONAL","OPTIONAL","OPTIONAL","OPTIONAL","OPTIONAL"
,,,,,,,,,,,,,,,,,
"Super Advanced Python","In this talk we'll talk about the more advanced features of the Python language...","Python, Programming, Web Development","http://www.youtube.com/sdkahsld","http://www.speakerdeck.com/aksdlkasd","http://www.siteone.com, http://www.sitetwo.com","09/25/14","10:30 AM","12:00 PM","Windsor Hall","Raymond Chandler III","I'm the founder of SpkrBar.com. I also teach Python to people.","raymond@spkrbar.com","Python, Ruby, JavaScript","http://www.agilehogs.com","@raymondchandler","http://www.facebook.com/raymondchandleriii","http://www.linkedin.com/raymond-chandler-iii"
,,,,,,,,,,,,,,,,,
"Instructions:","(read all the instructions before beginning)",,,,,,,,,,,,,,,,
,"1. Insert all the relevant information on speakers and sessions in their proper columns starting with row 6. (leave the example alone)",,,,,,,,,,,,,,,,
,"2. Make sure the date and times are formatted correctly. (MM/DD/YYYY and HH:MM AM/PM or HH:MM (24 hour))",,,,,,,,,,,,,,,,
,"3. Leave Rows 1 – 5 (including the example).",,,,,,,,,,,,,,,,
,"4. Delete everything else (including these instructions and the notes below)",,,,,,,,,,,,,,,,
,"5. Visit https://www.spkrbar.com/manager",,,,,,,,,,,,,,,,
,"6. Select the event you want to upload for.",,,,,,,,,,,,,,,,
,"7. We'll lead you through the rest of the process from there. The hard part is over. Next we'll validate this template, give you a preview of everything, then finalize things.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Notes:",,"Example",,,,,,,,,,,,,,,
,"Our system is designed to be easy. We handle the unexpected extremely well so don't worry too much about formatting. These notes are provided for posterity sake.",,,,,,,,,,,,,,,,
,"Dates should be formatted as MM/DD/YYYY or MM/DD/YY",,,,,,,,,,,,,,,,
,"Times should be formatted as HH:MM AM/PM or HH:MM (24 hour)","01/20/2010 OR 01/10/10",,,,,,,,,,,,,,,
,"Lists of things should be separated by commas","10:30 AM, OR 04:00 PM, OR 14:00",,,,,,,,,,,,,,,
,"URLs and links need to have “http://” or “www.” at the front, or “.com, .org, etc” at the end.",,,,,,,,,,,,,,,,
,"Please provide as much information as possible. Duplicate information will automatically be filtered out. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"We do our best to parse nearly every format we can, and it's very rare we encounter things we haven't seen before.",,,,,,,,,,,,,,,,
,"Don't worry. After you upload the template, we'll let you know if there are any possible problem areas before you confirm the upload.",,,,,,,,,,,,,,,,
,"Problem with uploads are extremely rare, and if you encounter any we will work with you one on one until the problem is resolved.",,,,,,,,,,,,,,,,
,"Once you upload this to SpkrBar you will see a preview of what will be uploaded, and will have a chance to change things.",,,,,,,,,,,,,,,,
